"2000001";"1000001";"1.21567e+03";\N;"2.496e-06"
"2000001";"1000001";"0.00000e+00";\N;"8.229e+00"
"19000001";"1000001";"9.49743e+02";"1.860e-02";"3.440e+07"
"18000001";"1000001";"9.49743e+02";"9.300e-03";"3.440e+07"
"12000001";"1000001";"9.72537e+02";"3.870e-02";"6.820e+07"
"11000001";"1000001";"9.72537e+02";"1.930e-02";"6.820e+07"
"7000001";"1000001";"1.02572e+03";"1.050e-01";"1.670e+08"
"6000001";"1000001";"1.02572e+03";"5.270e-02";"1.670e+08"
"4000001";"1000001";"1.21567e+03";"5.550e-01";"6.260e+08"
"3000001";"1000001";"1.21567e+03";"2.780e-01";"6.260e+08"
"20000001";"3000001";"4.34165e+03";"8.880e-02";"7.850e+06"
"17000001";"3000001";"4.34165e+03";"2.430e-03";"4.300e+05"
"19000001";"2000001";"4.34165e+03";"5.590e-02";"4.950e+06"
"18000001";"2000001";"4.34166e+03";"2.800e-02";"4.950e+06"
"21000001";"4000001";"4.34171e+03";"1.600e-01";"9.420e+06"
"20000001";"4000001";"4.34172e+03";"1.780e-02";"1.570e+06"
"17000001";"4000001";"4.34172e+03";"4.860e-03";"8.590e+05"
"13000001";"3000001";"4.86264e+03";"2.440e-01";"1.720e+07"
"12000001";"2000001";"4.86265e+03";"1.370e-01";"9.670e+06"
"10000001";"3000001";"4.86265e+03";"6.090e-03";"8.590e+05"
"11000001";"2000001";"4.86266e+03";"6.850e-02";"9.670e+06"
"14000001";"4000001";"4.86272e+03";"4.380e-01";"2.060e+07"
"13000001";"4000001";"4.86272e+03";"4.870e-02";"3.440e+06"
"10000001";"4000001";"4.86273e+03";"1.220e-02";"1.720e+06"
"8000001";"3000001";"6.56452e+03";"1.390e+00";"5.390e+07"
"7000001";"2000001";"6.56454e+03";"5.800e-01";"2.240e+07"
"5000001";"3000001";"6.56456e+03";"2.720e-02";"2.100e+06"
"6000001";"2000001";"6.56458e+03";"2.900e-01";"2.240e+07"
"9000001";"4000001";"6.56467e+03";"2.510e+00";"6.460e+07"
"8000001";"4000001";"6.56468e+03";"2.790e-01";"1.080e+07"
"5000001";"4000001";"6.56472e+03";"5.440e-02";"4.210e+06"
"20000001";"6000001";"1.28214e+04";"2.790e-01";"2.830e+06"
"19000001";"5000001";"1.28215e+04";"1.610e-01";"1.640e+06"
"17000001";"6000001";"1.28215e+04";"1.490e-02";"3.020e+05"
