"DAT_E_ID"
188
189
198
200
203
236
237
238
257
259
260
261
279
281
282
304
314
315
327
328
330
332
333
334
339
340
341
342
343
344
345
357
358
360
361
362
363
364
365
366
381
386
405
406
407
408
409
411
412
415
416
417
418
419
422
423
425
426
427
428
438
439
442
453
454
455
466
467
468
474
476
477
478
486
487
496
497
504
505
520
529
530
531
532
533
534
535
541
542
543
544
550
551
552
553
555
557
558
559
563
564
565
566
568
569
572
574
577
578
579
580
588
592
593
613
614
632
637
638
639
640
641
643
644
646
657
662
666
667
668
669
670
671
672
673
674
675
678
682
684
685
687
689
691
692
702
703
709
728
783
788
828
838
854
867
877
904
905
908
911
916
920
922
925
926
929
932
934
942
947
956
960
963
966
968
977
978
995
1041
1042
1043
1044
