"DA_ID"
1
4
6
7
9
10
12
14
17
18
21
22
25
26
29
30
34
38
39
42
48
51
55
57
60
62
65
66
71
73
78
83
85
90
92
98
100
105
106
107
112
118
125
127
131
134
142
145
153
156
165
166
173
176
183
185
188
190
191
203
206
212
214
221
222
225
229
235
237
244
246
250
253
260
262
266
269
275
278
282
283
284
287
