/vald/db/all.cfg                                                                
Lf------eV
     72.31800 12.05  -6.550   0.000  1.5 171.444  2.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *4S   5d'  2F    KP        2   2   2   2   2   2   2   2   2
     72.89600 14.05  -1.440   0.000  1.5 170.085  2.5 99.00 99.00 99.00  0.000  0.000   0.000  2p5 *2P   4s'  2D    KP        3   3   3   3   3   3   3   3   3
     74.27500 13.05  -1.860   0.000  2.0 166.927  3.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 3P   4d' *1F     KP        2   2   2   2   2   2   2   2   2
     74.32100 12.05  -4.410   0.000  1.5 166.823  2.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *4S   5d   2F    KP        2   2   2   2   2   2   2   2   2
     74.34900 13.05  -0.610   0.000  2.0 166.760  1.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 3P   4d' *       KP        2   2   2   2   2   2   2   2   2
     74.34900 13.05  -2.050   0.000  2.0 166.760  2.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 3P   4d' *       KP        2   2   2   2   2   2   2   2   2
     74.44200 13.05  -0.460   0.000  2.0 166.552  2.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 3P   4d' *3P     KP        2   2   2   2   2   2   2   2   2
     74.50100 13.05  -3.150   0.339  1.0 166.760  2.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 3P   4d' *       KP        2   2   2   2   2   2   2   2   2
     74.50100 13.05  -1.140   0.339  1.0 166.760  1.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 3P   4d' *       KP        2   2   2   2   2   2   2   2   2
     74.56200 13.05  -1.790   0.475  0.0 166.760  1.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 3P   4d' *       KP        2   2   2   2   2   2   2   2   2
     74.57400 12.05  -1.360   0.000  1.5 166.258  0.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *4S   4p"' 4P    KP        2   2   2   2   2   2   2   2   2
